State,Total Evs,Total Chargers,Ratio: EVs to Charger Ports,Level 1 Chargers,Level 2 Chargers,DCFC Chargers,Square Mileage of State,,
California,"930,811","34,185",27.23,280,27762,6143,155973,,
Florida,"108,749","5,644",19.27,35,4557,1052,53997,,
New York,"106,024","6,547",16.19,15,5774,758,47224,,
Washington,"80,397","3,765",21.35,80,2985,700,66582,,
Texas,"78,585","4,946",15.89,32,4124,790,261914,,
New Jersey,"66,555","1,610",41.34,14,1095,501,7419,,
Georgia,"53,416","3,754",14.23,200,2994,560,57919,,
Massachusetts,"51,834","4,110",12.61,13,3726,371,7838,,
Illinois,"49,746","2,251",22.1,13,1786,452,55593,,
Colorado,"47,633","3,355",14.2,61,2788,506,103730,,
Oregon,"44,170","2,142",20.62,44,1680,418,96003,,
Arizona,"43,171","1,952",22.12,1,1542,409,113642,,
Pennsylvania,"42,611","2,438",17.48,14,1968,456,44820,,
Maryland,"41,893","2,815",14.88,21,2290,504,9775,,
Virginia,"39,724","2,507",15.85,51,1786,670,39598,,
North Carolina,"32,782","2,287",14.33,15,1838,434,48718,,
Michigan,"31,753","1,642",19.34,27,1227,388,56539,,
Ohio,"31,654","1,807",17.52,7,1467,333,40953,,
Connecticut,"23,353","1,216",19.2,21,909,286,4845,,
Minnesota,"20,393","1,226",16.63,71,950,205,79617,,
Hawaii,"19,243",751,25.62,5,662,84,6423,,
Nevada,"18,441","1,209",15.25,4,906,299,109806,,
Utah,"16,521","1,758",9.4,2,1561,195,82168,,
Wisconsin,"15,415",881,17.5,78,653,150,54314,,
Tennessee,"14,891","1,381",10.78,10,1152,219,41220,,
Missouri,"14,684","2,045",7.18,5,1825,215,68898,,
Indiana,"13,995",830,16.86,0,589,241,35870,,
Oklahoma,"10,712",975,10.99,6,315,654,68679,,
South Carolina,"8,982",769,11.68,3,599,167,30111,,
New Hampshire,"7,171",305,23.51,5,211,89,8969,,
Vermont,"7,061",831,8.5,71,685,75,9249,,
Maine,"6,486",537,12.08,6,404,127,30865,,
District of Columbia,"6,133",671,9.14,18,614,39,68,,
Alabama,"6,081",480,12.67,0,386,94,50750,,
Kansas,"5,848",937,6.24,2,825,110,81823,,
Iowa,"5,828",523,11.14,23,343,157,55875,,
Kentucky,"5,458",399,13.68,8,308,83,39732,,
New Mexico,"4,842",397,12.2,4,268,125,121365,,
Delaware,"4,733",271,17.46,2,180,89,1955,,
Rhode Island,"4,695",521,9.01,20,466,35,1034,,
Louisiana,"4,372",339,12.9,4,254,81,43566,,
Nebraska,"4,075",345,11.81,7,264,74,76878,,
Idaho,"3,769",260,14.5,0,180,80,82751,,
Arkansas,"3,127",412,7.59,0,346,66,52075,,
Montana,"2,278",203,11.22,2,99,102,145556,,
West Virginia,"1,795",266,6.75,1,196,69,24087,,
Mississippi,"1,689",281,6.01,0,211,70,46914,,
Alaska,"1,113",81,13.74,0,73,8,570641,,
South Dakota,"1,015",147,6.9,0,84,63,75898,,
Wyoming,707,169,4.18,4,90,75,97105,,
North Dakota,656,134,4.9,0,73,61,68994,,
Median,"14,684",937,14.2,7,685,195,53997,,
Average,"42,099","2,143",14.6,25.6,"1,727",391,69339.96078,,
Total,"2,147,070","109,307",,"1,305","88,070","19,932",3536338,,
